METADATA,,,,,
title.en,List of Data Network Identification Codes (DNIC),,,,
title.es,Lista de códigos de identificación de red de datos (CIRD),,,,
title.fr,Liste des codes d'identification de réseau pour données (CIRD),,,,
country_or_area.en,Country/Area,,,,
dnic_number.en,DNIC No.,,,,
network_name.en,Name of network to which a DNIC is allocated,,,,
country_or_area.fr,Pays/Zone,,,,
dnic_number.fr,CIRD N°,,,,
network_name.fr,Nom du réseau auquel un CIRD est attribué,,,,
country_or_area.es,País/Zona,,,,
dnic_number.es,CIRD N.°,,,,
network_name.es,Nombre de la red a la cual se ha atribuido el CIRD,,,,
,,,,,
DATA,,,,,
GERMANY,ALEMANIA,ALLEMAGNE,265 3,ARCOR/PSN-2,
GERMANY,ALEMANIA,ALLEMAGNE,265 4,TNET,
GERMANY,ALEMANIA,ALLEMAGNE,265 5,ISIS_DUS,
GERMANY,ALEMANIA,ALLEMAGNE,265 6,RWE TELPAC,
GERMANY,ALEMANIA,ALLEMAGNE,265 7,DTN/AutoFüFmNLw,
GERMANY,ALEMANIA,ALLEMAGNE,265 8,DRENET,
GERMANY,ALEMANIA,ALLEMAGNE,265 9,GCN (Geno Communication Network),
GHANA,GHANA,GHANA,620 2,DATATEL,
GREECE,GRECIA,GRÈCE ,202 3,Packet Switched Public Data Network (HELLASPAC),
GREECE,GRECIA,GRÈCE ,202 7,LAN-NET,
GREENLAND,GROENLANDIA,GROËNLAND ,290 1,DATAPAK (Packet Switched Network),
GRENADA,GRANADA,GRENADE,352 2,CARIBNET,
GUAM ,GUAM,GUAM,535 1,"The Pacific Connection, Inc. – Pacnet Public Packet Switching Service",
GUYANA,GUYANA,GUYANA,738 0,GT&T PAC,
HONDURAS,HONDURAS,HONDURAS,708 0,HONDUPAQ,
"HONG KONG, CHINA","HONG KONG, CHINA","HONG KONG, CHINE",453 8,Cable & Wireless Regional Businesses (Kong Kong) Limited,
"HONG KONG, CHINA","HONG KONG, CHINA","HONG KONG, CHINE",454 0,Public Switched Document Transfer Service,
"HONG KONG, CHINA","HONG KONG, CHINA","HONG KONG, CHINE",454 1,Hutchison Global Crossing Limited,
"HONG KONG, CHINA","HONG KONG, CHINA","HONG KONG, CHINE",454 3,New T&T,
"HONG KONG, CHINA","HONG KONG, CHINA","HONG KONG, CHINE",454 5,DATAPAK,
"HONG KONG, CHINA","HONG KONG, CHINA","HONG KONG, CHINE",454 6,iAsiaWorks (HK) Service,
"HONG KONG, CHINA","HONG KONG, CHINA","HONG KONG, CHINE",454 7,New World Telephone Limited,
"HONG KONG, CHINA","HONG KONG, CHINA","HONG KONG, CHINE",454 8,KDD Telecomet Hong Kong Ltd.,
HUNGARY,HUNGRÍA,HONGRIE,216 1,Packet Switched Data Service,"use internally, see OB 965"
ICELAND,ISLANDIA,ISLANDE,274 0,ISPAK/ICEPAC,
INDIA,INDIA,INDE,404 1,RABMN,
INDIA,INDIA,INDE,404 2,International Gateway Packet Switching System (GPSS),
INDIA,INDIA,INDE,404 3,INET (Packet Switched Public Data Network),
INDIA,INDIA,INDE,404 5,HVnet,
INDIA,INDIA,INDE,404 6,Shared DNIC for VSAT Based Private Data Networks,
INDONESIA,INDONESIA,INDONÉSIE,510 1,SKDP Packet Switched Service (Sambungan Komunikasi Data Paket),
INMARSAT,INMARSAT,INMARSAT,111 1,Atlantic Ocean-East,
INMARSAT,INMARSAT,INMARSAT,111 2,Pacific Ocean,
INMARSAT,INMARSAT,INMARSAT,111 3,Indian Ocean,
INMARSAT,INMARSAT,INMARSAT,111 4,Atlantic Ocean-West,
IRAN (ISLAMIC REPUBLIC OF),IRÁN (REPÚBLICA ISLÁMICA DEL),IRAN (RÉPUBLIQUE ISLAMIQUE D'),432 1,IranPac,
IRELAND ,IRLANDA,IRLANDE,272 1,International Packet Switched Service,
IRELAND ,IRLANDA,IRLANDE,272 3,EURONET,
IRELAND ,IRLANDA,IRLANDE,272 4,EIRPAC (Packet Switched Data Networks),
IRELAND ,IRLANDA,IRLANDE,272 8,PostNET (PostGEM Packet Switched Data Network),
ISRAEL,ISRAEL,ISRAËL,425 1,ISRANET,
ITALY,ITALIA,ITALIE,222 1,Rete Telex-Dati (Amministrazione P.T. / national),
ITALY,ITALIA,ITALIE,222 2,ITAPAC X.25,
ITALY,ITALIA,ITALIE,222 3,PAN (Packet Network),
ITALY,ITALIA,ITALIE,222 6,"ITAPAC – X.32 PSTN, X.28, D channel",
ITALY,ITALIA,ITALIE,222 7,ITAPAC International,
ITALY,ITALIA,ITALIE,223 3,ALBADATA X.25,
ITALY,ITALIA,ITALIE,223 4,Trasmissione dati a commutazione di pacchetto X.25,
ITALY,ITALIA,ITALIE,,   (UNISOURCE ITALIA S.p.A.),
ITALY,ITALIA,ITALIE,223 5,Trasmissione dati a commutazione di pacchetto X.25 (INFOSTRADA S.p.A.),
ITALY,ITALIA,ITALIE,223 6,Trasmissione dati a commutazione di pacchetto X.25,
ITALY,ITALIA,ITALIE,,   (WIND Telecomunicazioni S.p.A.),
ITALY,ITALIA,ITALIE,223 7,Trasmissione dati a commutazione di pacchetto X.25 (Atlanet S.p.A.),
JAPAN,JAPÓN,JAPON ,440 0,GLOBALNET (Network of the Global VAN Japan Incorporation),
JAPAN,JAPÓN,JAPON ,440 2,NEC-NET (NEC Corporation),
JAPAN,JAPÓN,JAPON ,440 3,JENSNET (JENS Corporation),
JAPAN,JAPÓN,JAPON ,440 4,JAIS-NET (Japan Research Institute Ltd.),
JAPAN,JAPÓN,JAPON ,440 5,"NCC-VAN (NRI Co., Ltd.)",
JAPAN,JAPÓN,JAPON ,440 6,"TYMNET-JAPAN (JAPAN TELECOM COMMUNICATIONS SERVICES CO.,    LTD.)",
JAPAN,JAPÓN,JAPON ,441 2,"Sprintnet (Global One Communications, INC.)",
JAPAN,JAPÓN,JAPON ,441 3,KYODO NET (UNITED NET Corp),
JAPAN,JAPÓN,JAPON ,441 5,FENICS (FUJITSU LIMITED),
JAPAN,JAPÓN,JAPON ,441 6,"HINET (HITACHI Information Network, Ltd.)",
JAPAN,JAPÓN,JAPON ,441 7,"TIS-Net (TOYO Information Systems Co., Ltd.)",
JAPAN,JAPÓN,JAPON ,441 8,TG-VAN (TOSHIBA Corporation),
JAPAN,JAPÓN,JAPON ,442 0,Pana-Net (MATSUSHITA ELECTRIC INDUSTRIAL CO. LTD.),
JAPAN,JAPÓN,JAPON ,442 2,"CTC-P (CHUBU TELECOMMUNICATIONS CO., INC.)",
JAPAN,JAPÓN,JAPON ,442 3,JENSNET (JENS Corporation),
JAPAN,JAPÓN,JAPON ,442 4,SITA NETWORK,
JAPAN,JAPÓN,JAPON ,442 5,GLOBAL MANAGED DATA SERVICE (Cable & Wireless IDC-Si),
JAPAN,JAPÓN,JAPON ,442 6,ECHO-NET (HITAHC INFORMATION SYSTEMS LTD.) ,
JAPAN,JAPÓN,JAPON ,442 7,U-net (NIHON UNYSYS INFORMATION SYSTEMS LTD.),
KAZAKHSTAN,KAZAJSTÁN,KAZAKHSTAN,401 0,KazNet X.25,
KAZAKHSTAN,KAZAJSTÁN,KAZAKHSTAN,401 1,BankNet X.25,
KENYA,KENYA,KENYA,639 0,KENPAC – Telkom Kenya Ltd.,
KOREA (REP. OF),COREA (REP. DE),CORÉE (RÉP. DE),450 0,HiNET-P (KOREA TELECOM),
KOREA (REP. OF),COREA (REP. DE),CORÉE (RÉP. DE),450 1,DACOM-NET,
KOREA (REP. OF),COREA (REP. DE),CORÉE (RÉP. DE),450 2,CSDN (attribué seulement au télétex/only assigned to Teletex/atribuido    solamente al teletex),
KUWAIT,KUWAIT,KOWEÏT,419 5,Qualitynet,
LATVIA,LETONIA,LETTONIE,247 1,Latvijas mobilais telefons,
LATVIA,LETONIA,LETTONIE,247 2,Tele2,
LATVIA,LETONIA,LETTONIE,247 3,Telekom Baltija,
LATVIA,LETONIA,LETTONIE,247 4,MDBA,
LATVIA,LETONIA,LETTONIE,247 5,Rigatta,
LATVIA,LETONIA,LETTONIE,247 6,Rixtel,
LATVIA,LETONIA,LETTONIE,247 7 ,Advem,
LATVIA,LETONIA,LETTONIE,247 8,AWA Baltic,
