METADATA,,,,,,,,,,,,,
title.en,List of terrestrial trunk radio mobile country codes,,,,,,,,,,,,
title.fr,LISTE DES INDICATIFS DE PAYS POUR LE SERVICE MOBILE DE RADIOCOMMUNICATION DE TERRE À RESSOURCES PARTAGÉES,,,,,,,,,,,,
title.es,LISTA DE INDICATIVOS DE PAÍS PARA EL SERVICIO MÓVIL DE RADIOCOMUNICACIÓN CON CONCENTRACIÓN DE ENLACES TERRENALES v,,,,,,,,,,,,
title.ru,СПИСОК КОДОВ СТРАНЫ ДЛЯ ПОДВИЖНОЙ СВЯЗИ В СИСТЕМЕ НАЗЕМНОЙ ТРАНКИНГОВОЙ РАДИОСВЯЗИ,,,,,,,,,,,,
title.zh,地面集群无线电移动国家代码列表,,,,,,,,,,,,
title.ar,قائمة بالرموز الدليلية للبلدان للاتصالات الراديوية المتنقلة للأرض للاتصال البعيد ,,,,,,,,,,,,
locale.tmcc_code.en,Code (TMCC),,,,,,,,,,,,
locale.country_or_area.en,Country or Geographical Area,,,,,,,,,,,,
locale.note.en,Note,,,,,,,,,,,,
locale.reserved.en,Reserved,,,,,,,,,,,,
locale.tmcc_code.fr,Indicatif (TMCC),,,,,,,,,,,,
locale.country_or_area.fr,Pays ou zone géographique,,,,,,,,,,,,
locale.note.fr,Note,,,,,,,,,,,,
locale.reserved.fr,Réservé,,,,,,,,,,,,
locale.tmcc_code.es,Indicativo(TMCC),,,,,,,,,,,,
locale.country_or_area.es,País o zona geográfica,,,,,,,,,,,,
locale.note.es,Nota,,,,,,,,,,,,
locale.reserved.es,Reservado,,,,,,,,,,,,
locale.tmcc_code.ru,Код (TMCC),,,,,,,,,,,,
locale.country_or_area.ru,Страна или географическая зона ,,,,,,,,,,,,
248,Estonia (Republic of),Estonie (République d'),Estonia (República de),Эстонская Республика,爱沙尼亚（共和国）,جمهورية إستونيا,,,,,,,
250,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,,
255,Ukraine,Ukraine,Ucrania,Украина,乌克兰,أوكرانيا,,,,,,,
257,Belarus (Republic of),Bélarus (République du),Belarús (República de),Беларусь (Республика),白俄罗斯（共和国）,جمهورية بيلاروس,,,,,,,
259,Moldova (Republic of),Moldova (République de),Moldova (República de),Молдова (Республика),摩尔多瓦（共和国）,جمهورية مولدوفا,,,,,,,
260,Poland (Republic of),Pologne (République de),Polonia (República de),Польша (Республика),波兰（共和国）,جمهورية بولندا,,,,,,,
262,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,,
266,Gibraltar,Gibraltar,Gibraltar,Гибралтар,直布罗陀,جبل طارق,,,,,,,
268,Portugal,Portugal,Portugal,Португалия,葡萄牙,البرتغال,,,,,,,
270,Luxembourg,Luxembourg,Luxemburgo,Люксембург,卢森堡,لكسمبرغ,,,,,,,
272,Ireland,Irlande,Irlanda,Ирландия,爱尔兰,أيرلندا,,,,,,,
274,Iceland,Islande,Islandia,Исландия,冰岛,أيسلندا,,,,,,,
276,Albania (Republic of),Albanie (République d'),Albania (República de),Албания (Республика),阿尔巴尼亚（共和国）,جمهورية ألبانيا,,,,,,,
278,Malta,Malte,Malta,Мальта,马耳他,مالطة,,,,,,,
280,Cyprus (Republic of),Chypre (République de),Chipre (República de),Кипр (Республика),塞浦路斯（共和国）,جمهورية قبرص,,,,,,,
282,Georgia,Géorgie,Georgia,Грузия,格鲁吉亚,جورجيا,,,,,,,
283,Armenia (Republic of),Arménie (République d'),Armenia (República de),Армения (Республика),亚美尼亚（共和国）,جمهورية أرمينيا,,,,,,,
284,Bulgaria (Republic of),Bulgarie (République de),Bulgaria (República de),Болгария (Республика),保加利亚（共和国）,جمهورية بلغاريا,,,,,,,
286,Turkey,Turquie,Turquía,Турция,土耳其,تركيا,,,,,,,
288,Faroe Islands,Féroé (Iles),Feroe (Islas),Фарерский Острова,法罗群岛,جزر فارو,,,,,,,
290,Greenland (Denmark),Groenland (Danemark),Groenlandia (Dinamarca),Гренландия (Дания),格陵兰 (丹麦),غرينلاند (الدانمارك),,,,,,,
292,San Marino (Republic of),Saint-Marin (République de),San Marino (República de),Сан-Марино (Республика),圣马力诺（共和国）,جمهورية سان مارينو,,,,,,,
293,Slovenia (Republic of),Slovénie (République de),Eslovenia (República de),Словения (Республика),斯洛文尼亚（共和国）,جمهورية سلوفينيا,,,,,,,
294,The Former Yugoslav Republic of Macedonia,L'ex-République yougoslave de Macédoine,La ex República Yugoslava de Macedonia,Бывшая югославская Республика Македония,前南斯拉夫马其顿共和国,جمهورية مقدونيا اليوغوسلافية السابقة,,,,,,,
295,Liechtenstein (Principality of),Liechtenstein (Principauté de),Liechtenstein (Principado de),Лихтенштейн (Княжество),列支敦士登（公国）,إمارة ليختنشتاين,,,,,,,
297,Montenegro,Monténégro,Montenegro,Черногория,黑山,الجبل الأسود,,,,,,,
302,Canada,Canada,Canadá,Канада,加拿大,كندا,,,,,,,
308,Saint Pierre and Miquelon (Collectivité territoriale de la République française),Saint-Pierre-et-Miquelon (Collectivité territoriale de la République française),San Pedro y Miquelón (Collectivité territoriale de la République française),Сен-Пьер и Микелон (территориальное сообщество Французской Республики),圣皮埃尔和密克隆（法国共和国属地）,سان بيير وميكيلون (تجمع إقليمي للجمهورية الفرنسية),,,,,,,
310,United States of America,Etats-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,美利坚合众国,الولايات المتحدة الأمريكية,,,,,,,
311,United States of America,Etats-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,美利坚合众国,الولايات المتحدة الأمريكية,,,,,,,
312,United States of America,Etats-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,美利坚合众国,الولايات المتحدة الأمريكية,,,,,,,
313,United States of America,Etats-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,美利坚合众国,الولايات المتحدة الأمريكية,,,,,,,
314,United States of America,Etats-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,美利坚合众国,الولايات المتحدة الأمريكية,,,,,,,
315,United States of America,Etats-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,美利坚合众国,الولايات المتحدة الأمريكية,,,,,,,
316,United States of America,Etats-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,美利坚合众国,الولايات المتحدة الأمريكية,,,,,,,
330,Puerto Rico,Puerto Rico,Puerto Rico,Пуэрто-Рико,波多黎各,بورتوريكو,,,,,,,
332,United States Virgin Islands,Vierges américaines (Iles),Vírgenes de los Estados Unidos (Islas),Американские Виргинские Острова,美属维京群岛,الجزر العذراء الأمريكية,,,,,,,
334,Mexico,Mexique,México,Мексика,墨西哥,المكسيك,,,,,,,
338,Jamaica,Jamaïque,Jamaica,Ямайка,牙买加,جامايكا,,,,,,,
340,Guadeloupe (French Department of),Guadeloupe (Département français de la),Guadalupe (Departamento francés de la),Гваделупа (департамент Франции),法属瓜德罗普省,مقاطعة غواديلوب الفرنسية,,,,,,,
340,Martinique (French Department of),Martinique (Département français de la),Martinica (Departamento francés de la),Мартиника (департамент Франции),法属马提尼克,مقاطعة المارتينيك الفرنسية,,,,,,,
342,Barbados,Barbade,Barbados,Барбадос,巴巴多斯,بربادوس,,,,,,,
344,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Барбуда,安提瓜和巴布达,أنتيغوا وبربودا,,,,,,,
346,Cayman Islands,Caïmanes (Iles),Caimán (Islas),Каймановы Острова,开曼群岛,جزر كايمان,,,,,,,
348,British Virgin Islands,Vierges britanniques (Iles),Vírgenes Británicas (Islas),Британские Виргинские Острова,英属维京群岛,الجزر العذراء البريطانية,,,,,,,
350,Bermuda,Bermudes,Bermudas,Бермудские Острова,百慕大,برمودا,,,,,,,
352,Grenada,Grenade,Granada,Гренада,格林纳达,غرينادا,,,,,,,
354,Montserrat,Montserrat,Montserrat,Монтсеррат,蒙特塞拉特,مونتسيرات,,,,,,,
356,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,Saint Kitts y Nevis,Сент-Китс и Невис ,圣基茨和尼维斯,اتحاد سانت كيتس ونيفيس,,,,,,,
358,Saint Lucia,Sainte-Lucie,Santa Lucía,Сент-Люсия,圣卢西亚,سانت لوسيا,,,,,,,
360,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas,Сент-Винсент и Гренадины,圣文森特和格林纳丁斯,سانت فنسنت وغرينادين,,,,,,,
362,Curaçao,"Bonaire, Saint-Eustache et Saba","Bonaire, San Eustaquio y Saba",Кюрасао,库拉索,كوراساو,,,,,,,
362,Sint Maarten (Dutch part),Curaçao,Curaçao,Синт-Мартен (голландская часть),圣马丁岛（荷属部分）,سانت مارتن (الجزء الهولندي),,,,,,,
362,"Bonaire, Sint Eustatius and Saba",Saint-Martin (partie néerlandaise),San Martín (parte neerlandesa),"Бонэйр, Синт-Эстатиус и Саба",博内尔岛、圣尤斯特歇斯岛和萨巴岛,جزر بونير وسان يوستاتيوس وسابا,,,,,,,
363,Aruba,Aruba,Aruba,Аруба,阿鲁巴,آروبا,,,,,,,
364,Bahamas (Commonwealth of the),Bahamas (Commonwealth des),Bahamas (Commonwealth de las),Содружество Багамских Островов,巴哈马（联邦）,كومنولث البهاما,,,,,,,
