Andorra (Principality of),Andorre (Principauté d'),Andorra (Principado de),Special information tone,Tonalité spéciale d'information - ,Tono especial de información - ,950/1400/1800,3x0.333 on 1.0 off,,,,special_information
Andorra (Principality of),Andorre (Principauté d'),Andorra (Principado de),Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,425,0.175 on 0.175 off 0.175 on 3.5 off,,,,call_waiting
Angola (Republic of),Angola (République d'),Angola (República de),Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,400,0.5 on 0.5 off,,,,busy
Angola (Republic of),Angola (République d'),Angola (República de),Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,400,0.5 on 0.5 off,,,,congestion
Angola (Republic of),Angola (République d'),Angola (República de),Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,400,continuous,,,,dial
Angola (Republic of),Angola (République d'),Angola (República de),Number unobtainable tone,Tonalité d'abonné inaccessible - ,Tono de abonado inaccesible - ,400,0.2 on 0.2 off,,,,number_unobtainable
Angola (Republic of),Angola (République d'),Angola (República de),Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,25,1.0 on 5.0 off,,,,ringing
Angola (Republic of),Angola (République d'),Angola (República de),Waiting tone,Tonalité d'attente - ,Tono de espera - ,400,1.0 on 5.0 off,,,,waiting
Anguilla,Anguilla,Anguilla,Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,480+620,0.5 on 0.5 off,,,,busy
Anguilla,Anguilla,Anguilla,Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,480+620,0.25 on 0.25 off,,,,congestion
Anguilla,Anguilla,Anguilla,Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,350+440,continuous,,,,dial
Anguilla,Anguilla,Anguilla,Recall dial tone,Tonalité d'invitation à répéter l'appel - ,Tono de repetición de invitación a marcar - ,350+440,3x(0.1 on 0.1 off) + continuous,,,,recall
Anguilla,Anguilla,Anguilla,Number unobtainable tone,Tonalité d'abonné inaccessible - ,Tono de abonado inaccesible - ,480+620,0.25 on 0.25 off,,,,number_unobtainable
Anguilla,Anguilla,Anguilla,Payphone recognition tone,Tonalité d'identification de publiphone - ,Tono de identificación de teléfono de previo pago -,1600/1143,0.2 on 0.2 off 0.2 on 2.0 off,,,,payphone_recognition
Anguilla,Anguilla,Anguilla,Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,440+480,2.0 on 4.0 off,,,,ringing
Anguilla,Anguilla,Anguilla,Special information tone,Tonalité spéciale d'information - ,Tono especial de información - ,950/1400/1800,3x0.33 on 1.0 off,,,,special_information
Anguilla,Anguilla,Anguilla,Warning tone (operator intervening),Tonalité d'avertissement - intervention d’opératrice,Tono de aviso - intervención de la operadora   ,450,0.2 on 0.2 off 0.65 on 0.2 off,,,,warning
Anguilla,Anguilla,Anguilla,Waiting tone,Tonalité d'attente - ,Tono de espera - ,440,1x(0.5 on 10.0 off 0.5 on),,,,waiting
Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,480+620,0.5 on 0.5 off,,,,busy
Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,480+620,0.25 on 0.25 off,,,,congestion
Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,350+440,continuous,,,,dial
