METADATA,,,,,,,,,,,,
title.en,List of Signalling Area/Network Codes (SANC) (Complement to Recommendation ITU-T Q.708 (03/99)),,,,,,,,,,,
title.fr,Liste des codes de zone/réseau sémaphore (SANC) (Complément à la Recommandation UIT-T Q.708 (03/1999)),,,,,,,,,,,
title.es,Lista de códigos de zona/red de señalización (SANC) (Complemento de la Recomendación UIT-T Q.708 (03/1999)),,,,,,,,,,,
title.ru,Список зоновых/сетевых кодов сигнализации (SANC) (дополнение к Рекомендации МСЭ-Т Q.708 (03/1999)),,,,,,,,,,,
title.zh,信令区域/网络编码（SANC）的列表（ITU-T Q.708建议书（03/99）补遗）,,,,,,,,,,,
title.ar,قائمة بالرموز الدليلية لمناطق/شبكات التشوير (SANC) (تكملة للتوصية ITU-T Q.708 (99/03)),,,,,,,,,,,
locale.code.en,Code,,,,,,,,,,,
locale.area_or_network.en,Geographical Area or Signalling Network ,,,,,,,,,,,
locale.code.fr,Code,,,,,,,,,,,
locale.area_or_network.fr,Zone géographique ou réseau sémaphore – ordre numérique,,,,,,,,,,,
locale.code.es,Código,,,,,,,,,,,
locale.area_or_network.es,Zona geográfica o red de señalización – orden numérico,,,,,,,,,,,
locale.code.ru,Код,,,,,,,,,,,
locale.area_or_network.ru,Географическая зона или сеть сигнализации – нумерационный порядок,,,,,,,,,,,
locale.code.zh,代码,,,,,,,,,,,
locale.area_or_network.zh,地理区域或信令网络 – 按数字排序,,,,,,,,,,,
locale.code.ar,الرمز,,,,,,,,,,,
locale.area_or_network.ar,المنطقة الجغرافية أو شبكة التشوير - الترتيب العددي,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
DATA,,,,,,,,,,,,
code,area_or_network.en,area_or_network.fr,area_or_network.es,area_or_network.ru,area_or_network.zh,area_or_network.ar,note.en,note.fr,note.es,note.ru,note.zh,note.ar
2-074,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,大不列颠及北爱尔兰联合王国,المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية,,,,,,
2-075,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,大不列颠及北爱尔兰联合王国,المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية,,,,,,
2-076,Denmark,Danemark,Dinamarca,Дания,丹麦,الدانمارك,,,,,,
2-077,Denmark,Danemark,Dinamarca,Дания,丹麦,الدانمارك,,,,,,
2-078,Denmark,Danemark,Dinamarca,Дания,丹麦,الدانمارك,,,,,,
2-079,Denmark,Danemark,Dinamarca,Дания,丹麦,الدانمارك,,,,,,
2-080,Sweden,Suède,Suecia,Швеция,瑞典,السويد,,,,,,
2-081,Sweden,Suède,Suecia,Швеция,瑞典,السويد,,,,,,
2-082,Sweden,Suède,Suecia,Швеция,瑞典,السويد,,,,,,
2-083,Sweden,Suède,Suecia,Швеция,瑞典,السويد,,,,,,
2-084,Norway,Norvège,Noruega,Норвегия,挪威,النرويج,,,,,,
2-085,Norway,Norvège,Noruega,Норвегия,挪威,النرويج,,,,,,
2-086,Norway,Norvège,Noruega,Норвегия,挪威,النرويج,,,,,,
2-087,Norway,Norvège,Noruega,Норвегия,挪威,النرويج,,,,,,
2-088,Finland,Finlande,Finlandia,Финляндия,芬兰,فنلندا,,,,,,
2-089,Finland,Finlande,Finlandia,Финляндия,芬兰,فنلندا,,,,,,
2-090,Finland,Finlande,Finlandia,Финляндия,芬兰,فنلندا,,,,,,
2-091,Finland,Finlande,Finlandia,Финляндия,芬兰,فنلندا,,,,,,
2-092,Estonia (Republic of),Estonie (République d'),Estonia (República de),Эстонская Республика,爱沙尼亚（共和国）,جمهورية إستونيا,,,,,,
2-093,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-094,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-095,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-096,Latvia (Republic of),Lettonie (République de),Letonia (República de),Латвийская Республика,拉脱维亚（共和国）,جمهورية لاتفيا,,,,,,
2-097,Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,,,,,,
2-098,Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,,,,,,
2-099,Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,,,,,,
2-100,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-101,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-102,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-103,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-104,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-105,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-106,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-107,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-108,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-109,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
