Soudan,Sudan,Sudán,,,,,,,,,,The telecommunication service with Israel is suspended.,El servicio de telecomunicaciones con Israel está suspendido,Le service de télécommunication avec Israël est suspendu.
Suriname,Suriname,Suriname,TRUE,TRUE,,,,,,,,,,
Swaziland,Swaziland,Swazilandia,,,TRUE,,,TRUE,,,,,,
Suède,Sweden,Suecia,,,,,,,,,,"TeliaSonera no longer accept single ticket method collect calls to Sweden, nor provide Home Country Direct from and to Sweden.","TeliaSonera no aceptará llamadas de cobro revertido por el método de ticket único con destino a Suecia, ni proporcionará el servicio país directo desde y hacia ese país","TeliaSonera n'accepte plus de communications payables à l'arrivée de type ""à ticket unique"" (Single Ticket Method) à destination de la Suède, et n'assure plus le service ""pays d'origine direct"" (Home Country Direct) en provenance et à destination de la Suède."
République arabe syrienne,Syrian Arab Republic,República Árabe Siria,,,,,,,,,,The telecommunication service with Israel is suspended.,El servicio de telecomunicaciones con Israel está suspendido,Le service de télécommunication avec Israël est suspendu.
Thaïlande,Thailand,Tailandia,,TRUE,,,,,,,,,,
Tonga,Tonga,Tonga,TRUE,TRUE,,,,,,,,,,
Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tabago,TRUE,TRUE,TRUE,,,TRUE,,,,,,
Turquie,Turkey,Turquía,,,,,,,,,,The use of MF and HF radiotelegraphy and radiotelephony on foreign ships in Turkish ports is restricted.,Se restringe el empleo de la radiotelegrafía y de la radiotelefonía por ondas hectométricas y decamétricas en los barcos extranjeros anclados en puertos turcos,L’usage de la radiotélégraphie et de la radiotéléphonie à ondes hectométriques et décamétriques sur les navires étrangers se trouvant dans des ports turcs est soumis à des restrictions.
Turques et Caïques (Iles),Turks and Caicos Islands,Turquesas y Caicos (Islas),,,TRUE,,,,,,,,,
Emirats arabes unis,United Arab Emirates,Emiratos Árabes Unidos,,,TRUE,,,,,,,The telecommunication service with Israel is suspended,El servicio de telecomunicaciones con Israel está suspendido,Le service de télécommunication avec Israël est suspendu.
Uruguay,Uruguay,Uruguay,,,TRUE,,,,,,,,,
Vanuatu,Vanuatu,Vanuatu,TRUE,TRUE,,,,,TRUE,TRUE,,,,
Vatican,Vatican,Vaticano,TRUE,,,,,,,,,,,
Yémen,Yemen,Yemen,TRUE,,,,,,,,,The telecommunication service with Israel is suspended.,El servicio de telecomunicaciones con Israel está suspendido.,Le service de télécommunication avec Israël est suspendu.
