METADATA,,,,,,,,,
2-200-2,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,5698,ARMGSM,Armentel JV CJSC
2-200-3,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,5699,Orange,Orange Armenia
2-200-4,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,5700,PMPSI,PMF-SAL
2-200-5,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,5701,KTPSI,K Telecom
2-200-6,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,5702,KTPSI,K Telecom
4-233-0,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,10056,Ucom,UCOM
4-233-1,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,10057,Griar,GRIAR TELECOM
4-233-2,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,10058,GNC Alfa,GNC Alfa
5-234-0,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,12112,iCON,ICON
5-234-1,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,12113,Orange,Orange Armenia
5-234-3,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا,12115,Corssnet,Crossnet
