METADATA,,,,,,,,,,,,,,,,,,,,,,,,
title.en,List of Country or Geographical Area Codes for Non-standard Facilities in Telematic Services,,,,,,,,,,,,,,,,,,,,,,,
title.fr,LISTE DES INDICATIFS DE PAYS OU DE ZONE GÉOGRAPHIQUE POUR LES FACILITÉS NON NORMALISÉES DANS LES SERVICES DE TÉLÉMATIQUE,,,,,,,,,,,,,,,,,,,,,,,
title.es,LISTA DE INDICATIVOS DE PAÍS O DE ZONA GEOGRÁFICA PARA FACILIDADES NO NORMALIZADAS DE LOS SERVICIOS TELEMÁTICOS,,,,,,,,,,,,,,,,,,,,,,,
code_bit.en,Code Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.en,Country or geographical area,,,,,,,,,,,,,,,,,,,,,,,
notes.en,NOTE,,,,,,,,,,,,,,,,,,,,,,,
code_bit.fr,Code Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.fr,Pays ou zone géographique,,,,,,,,,,,,,,,,,,,,,,,
notes.fr,NOTE ,,,,,,,,,,,,,,,,,,,,,,,
code_bit.es,Código Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.es,País o zona geográfica,,,,,,,,,,,,,,,,,,,,,,,
notes.es,NOTA ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA,name=code_bit,,,,,,,,,,,,,,,,,,,,,,,
code_bit,country_or_area.en,country_or_area.fr,country_or_area.es,notes.en,notes.fr,notes.es,,,,,,,,,,,,,,,,,,
10010010,"Saint Helena, Ascension and Tristan da Cuhna","Sainte-Hélène, Ascension et Tristan da Cuhna","Santa Elena, Ascensión y Tristan da Cunha",,,,,,,,,,,,,,,,,,,,,
10010011,Saint Lucia,Sainte-Lucie,Santa Lucía,,,,,,,,,,,,,,,,,,,,,
10010100,San Marino,Saint-Marin,San Marino,,,,,,,,,,,,,,,,,,,,,
10010101,Saint Thomas,Saint-Thomas,Santo Tomás,,,,,,,,,,,,,,,,,,,,,
10010110,Sao Tome and Principe,Sao Tomé-et-Principe,Santo Tomé y Príncipe,,,,,,,,,,,,,,,,,,,,,
10010111,Saint Vincent and the Grenadines,Saint-Vincent-et-Grenadines,San Vicente y las Granadinas,,,,,,,,,,,,,,,,,,,,,
10011000,Saudi Arabia,Arabie saoudite,Arabia Saudita,,,,,,,,,,,,,,,,,,,,,
10011001,Senegal,Sénégal,Senegal,,,,,,,,,,,,,,,,,,,,,
10011010,Seychelles,Seychelles,Seychelles,,,,,,,,,,,,,,,,,,,,,
10011011,Sierra Leone,Sierra Leone,Sierra Leona,,,,,,,,,,,,,,,,,,,,,
10011100,Singapore,Singapour,Singapur,,,,,,,,,,,,,,,,,,,,,
10011101,Solomon Islands,Salomon (Iles),Salomón (Islas),,,,,,,,,,,,,,,,,,,,,
10011110,Somalia,Somalie,Somalia,,,,,,,,,,,,,,,,,,,,,
10011111,South Africa,Sudafricaine (Rép.),Sudafricana (Rep.),,,,,,,,,,,,,,,,,,,,,
10100000,Spain,Espagne,España,,,,,,,,,,,,,,,,,,,,,
10100001,Sri Lanka,Sri Lanka,Sri Lanka,,,,,,,,,,,,,,,,,,,,,
10100010,Sudan,Soudan,Sudán,,,,,,,,,,,,,,,,,,,,,
10100011,Suriname,Suriname,Suriname,,,,,,,,,,,,,,,,,,,,,
10100100,Swaziland,Swaziland,Swazilandia,,,,,,,,,,,,,,,,,,,,,
10100101,Sweden,Suède,Suecia,,,,,,,,,,,,,,,,,,,,,
10100110,Switzerland,Suisse,Suiza,,,,,,,,,,,,,,,,,,,,,
10100111,Syrian Arab Republic,République arabe syrienne,República Árabe Siria,,,,,,,,,,,,,,,,,,,,,
10101000,Tanzania,Tanzanie,Tanzanía,,,,,,,,,,,,,,,,,,,,,
10101001,Thailand,Thaïlande,Tailandia,,,,,,,,,,,,,,,,,,,,,
10101010,Togo,Togo,Togo,,,,,,,,,,,,,,,,,,,,,
10101011,Tonga,Tonga,Tonga,,,,,,,,,,,,,,,,,,,,,
10101100,Trinidad and Tobago,Trinité-et-Tobago,Trinidad y Tabago,,,,,,,,,,,,,,,,,,,,,
10101101,Tunisia,Tunisie,Túnez,,,,,,,,,,,,,,,,,,,,,
10101110,Turkey,Turquie,Turquía,,,,,,,,,,,,,,,,,,,,,
10101111,Turks and Caicos Islands,Turks et Caicos (Iles),Turquesas y Caicos (Islas),,,,,,,,,,,,,,,,,,,,,
10110000,Tuvalu,Tuvalu,Tuvalu,,,,,,,,,,,,,,,,,,,,,
10110001,Uganda,Ouganda,Uganda,,,,,,,,,,,,,,,,,,,,,
10110010,Ukraine,Ukraine,Ucrania,,,,,,,,,,,,,,,,,,,,,
10110011,United Arab Emirates,Emirats arabes unis,Emiratos Árabes Unidos,,,,,,,,,,,,,,,,,,,,,
10110100,United Kingdom,Royaume-Uni,Reino Unido,,,,,,,,,,,,,,,,,,,,,
10110101,United States,Etats-Unis,Estados Unidos,,,,,,,,,,,,,,,,,,,,,
10110110,Burkina Faso,Burkina Faso,Burkina Faso,,,,,,,,,,,,,,,,,,,,,
10110111,Uruguay,Uruguay,Uruguay,,,,,,,,,,,,,,,,,,,,,
10111000,Russian Federation,Fédération de Russie,Federación de Rusia,,,,,,,,,,,,,,,,,,,,,
10111001,Vanuatu,Vanuatu,Vanuatu,,,,,,,,,,,,,,,,,,,,,
10111010,Vatican,Vatican,Vaticano,,,,,,,,,,,,,,,,,,,,,
10111011,Venezuela,Venezuela,Venezuela,,,,,,,,,,,,,,,,,,,,,
10111100,Viet Nam,Viet Nam,Viet Nam,,,,,,,,,,,,,,,,,,,,,
10111101,Wallis and Futuna,Wallis-et-Futuna,Wallis y Futuna,,,,,,,,,,,,,,,,,,,,,
10111110,Samoa,Samoa,Samoa,,,,,,,,,,,,,,,,,,,,,
10111111,Yemen,Yémen,Yemen,,,,,,,,,,,,,,,,,,,,,
11000000,Yemen,Yémen,Yemen,,,,,,,,,,,,,,,,,,,,,
11000001,Serbia,Serbie,Serbia,,,,,,,,,,,,,,,,,,,,,
11000010,Dem. Rep. of the Congo,Rép. dém. du Congo,Rep. Dem. del Congo,,,,,,,,,,,,,,,,,,,,,
11000011,Zambia,Zambie,Zambia,,,,,,,,,,,,,,,,,,,,,
11000100,Zimbabwe,Zimbabwe,Zimbabwe,,,,,,,,,,,,,,,,,,,,,
11000101,Slovakia,Slovaquie,Eslovaquia,,,,,,,,,,,,,,,,,,,,,
11000110,Slovenia,Slovénie,Eslovenia,,,,,,,,,,,,,,,,,,,,,
11000111,Lithuania,Lituanie,Lituania,,,,,,,,,,,,,,,,,,,,,
11001000,Montenegro,Monténégro,Montenegro,,,,,,,,,,,,,,,,,,,,,
11001001,(Available),(Disponible),(Disponible),,,,,,,,,,,,,,,,,,,,,
11001010,(Available),(Disponible),(Disponible),,,,,,,,,,,,,,,,,,,,,
11001011,(Available),(Disponible),(Disponible),,,,,,,,,,,,,,,,,,,,,
11001100,(Available),(Disponible),(Disponible),,,,,,,,,,,,,,,,,,,,,
11001101,(Available),(Disponible),(Disponible),,,,,,,,,,,,,,,,,,,,,
11001110,(Available),(Disponible),(Disponible),,,,,,,,,,,,,,,,,,,,,
11001111,(Available),(Disponible),(Disponible),,,,,,,,,,,,,,,,,,,,,
11111111,Escape code to extension list (currently empty). See NOTE 1.,Code d'échappement vers la liste complémentaire (actuellement vide). Voir la NOTE 1.,Código de escape de la lista de extensiones (actualmente vacía). Véase NOTA 1.,"Once all the possible codes in the present List have been allocated, the escape code permits the implementation of a second List of Country or Geographical Area Codes for Non standard Facilities in Telematic Services by using an extension byte","Lorsque tous les codes possibles figurant dans la présente Liste auront été attribués, le code d'échappement permettra d'utiliser une deuxième liste d'indicatifs de pays ou de zone géographique pour les facilités non normalisées dans les services de télématique, en utilisant un octet d'extension.","Una vez asignados todos los posibles códigos de la presente Lista, el código de escape permite aplicar una segunda Lista de indicativos de país o de zona geográfica a facilidades no normalizadas de los servicios telemáticos, gracias a un bit de extensión.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,See NOTE 1.,
